shipment_id,origin,destination,carrier,mode,scheduled_departure,scheduled_arrival,distance_km,cargo_value,container_type,customer_tier
SH154,Port of Mumbai,Port of New York,Swift Logistics,Rail,2026-06-25T08:00:00,2026-06-28T07:00:00,4749,2214367,Dry Van,Tier 3
SH155,Port of Hamburg,Port of Singapore,Atlas Freight,Ocean,2026-06-16T08:00:00,2026-06-25T20:00:00,11810,7206720,Open Top,Tier 1
SH156,Port of Singapore,Port of Hamburg,Apex Cargo,Road,2026-06-10T08:00:00,2026-06-16T03:00:00,10327,5748848,Flat Rack,Tier 2
SH157,Port of Mumbai,Port of New York,Atlas Freight,Air,2026-06-01T08:00:00,2026-06-01T14:00:00,11943,3743305,Dry Van,Tier 3
SH158,Port of Newark,Port of London,Apex Cargo,Rail,2026-06-27T08:00:00,2026-06-30T04:00:00,11779,1150567,Reefer,Tier 1
SH159,Port of Los Angeles,Port of Shanghai,Atlas Freight,Air,2026-06-05T08:00:00,2026-06-05T15:00:00,12438,5296880,Flat Rack,Tier 3
SH160,Port of Los Angeles,Port of Dubai,Oceanic Link,Ocean,2026-06-14T08:00:00,2026-06-25T15:00:00,13979,2105723,Flat Rack,Tier 1
SH161,Port of Singapore,Port of London,Swift Logistics,Air,2026-06-29T08:00:00,2026-06-29T03:00:00,2582,2698790,Standard,Tier 3
SH162,Port of Singapore,Port of Hamburg,Global Trans,Air,2026-06-18T08:00:00,2026-06-18T01:00:00,917,2647480,Open Top,Tier 3
SH163,Port of Hamburg,Port of Sydney,Apex Cargo,Rail,2026-06-09T08:00:00,2026-06-14T14:00:00,8087,3419720,Open Top,Tier 1
SH164,Port of Newark,Port of Shanghai,Swift Logistics,Ocean,2026-06-24T08:00:00,2026-06-25T08:00:00,1622,4020001,Standard,Tier 3
SH165,Port of Tokyo,Port of New York,Apex Cargo,Rail,2026-06-03T08:00:00,2026-06-05T17:00:00,3940,725510,Flat Rack,Tier 3
SH166,Port of Shanghai,Port of New York,Oceanic Link,Ocean,2026-06-27T08:00:00,2026-06-30T09:00:00,14897,2057635,Standard,Tier 2
SH167,Port of Rotterdam,Port of Mumbai,Atlas Freight,Rail,2026-06-14T08:00:00,2026-06-19T11:00:00,7900,6247323,Standard,Tier 2
SH168,Port of Tokyo,Port of Shanghai,Atlas Freight,Road,2026-06-12T08:00:00,2026-06-19T07:00:00,12269,5432287,Flat Rack,Tier 1
SH169,Port of Shanghai,Port of Sydney,Swift Logistics,Ocean,2026-06-21T08:00:00,2026-06-27T19:00:00,8151,3838340,Standard,Tier 1
SH170,Port of Singapore,Port of Hamburg,Global Trans,Ocean,2026-06-18T08:00:00,2026-06-24T12:00:00,7830,4282406,Flat Rack,Tier 2
SH171,Port of Tokyo,Port of Sydney,Oceanic Link,Air,2026-06-07T08:00:00,2026-06-07T01:00:00,1453,4476219,Standard,Tier 1
SH172,Port of Mumbai,Port of New York,Global Trans,Ocean,2026-06-29T08:00:00,2026-06-30T17:00:00,11685,5512810,Reefer,Tier 1
SH173,Port of Hamburg,Port of Singapore,Swift Logistics,Rail,2026-06-07T08:00:00,2026-06-16T22:00:00,14307,6293669,Open Top,Tier 2
SH174,Port of Shanghai,Port of London,Atlas Freight,Rail,2026-06-22T08:00:00,2026-06-24T12:00:00,3641,4989003,Dry Van,Tier 3
SH175,Port of Tokyo,Port of Dubai,Global Trans,Air,2026-06-18T08:00:00,2026-06-18T15:00:00,12294,7877494,Dry Van,Tier 2
SH176,Port of Los Angeles,Port of New York,Global Trans,Rail,2026-06-07T08:00:00,2026-06-11T22:00:00,7119,6792471,Flat Rack,Tier 3
SH177,Port of Shanghai,Port of Dubai,Apex Cargo,Rail,2026-06-24T08:00:00,2026-06-30T00:00:00,12977,7718216,Open Top,Tier 2
SH178,Port of Shanghai,Port of New York,Apex Cargo,Air,2026-06-29T08:00:00,2026-06-29T03:00:00,2605,1921403,Flat Rack,Tier 3
SH179,Port of Tokyo,Port of London,Apex Cargo,Road,2026-06-15T08:00:00,2026-06-21T20:00:00,11503,473570,Open Top,Tier 1
SH180,Port of Shanghai,Port of Mumbai,Oceanic Link,Ocean,2026-06-25T08:00:00,2026-06-30T06:00:00,12329,9855685,Dry Van,Tier 3
SH181,Port of Rotterdam,Port of Sydney,Global Trans,Rail,2026-06-26T08:00:00,2026-06-30T00:00:00,11523,5578983,Open Top,Tier 2
SH182,Port of Los Angeles,Port of Sydney,Global Trans,Rail,2026-06-09T08:00:00,2026-06-11T06:00:00,3245,7028737,Open Top,Tier 1
SH183,Port of Los Angeles,Port of Shanghai,Swift Logistics,Air,2026-06-20T08:00:00,2026-06-20T09:00:00,7602,4087776,Standard,Tier 2
SH184,Port of Hamburg,Port of London,Apex Cargo,Ocean,2026-06-19T08:00:00,2026-06-20T17:00:00,2081,8561010,Flat Rack,Tier 3
SH185,Port of Newark,Port of London,Oceanic Link,Air,2026-06-05T08:00:00,2026-06-05T00:00:00,509,7186029,Reefer,Tier 3
SH186,Port of Tokyo,Port of Shanghai,Oceanic Link,Air,2026-06-26T08:00:00,2026-06-26T14:00:00,11828,3962942,Standard,Tier 2
SH187,Port of Tokyo,Port of Mumbai,Swift Logistics,Road,2026-06-01T08:00:00,2026-06-04T03:00:00,5284,4395760,Reefer,Tier 1
SH188,Port of Hamburg,Port of Shanghai,Atlas Freight,Ocean,2026-06-05T08:00:00,2026-06-14T12:00:00,11448,2382517,Dry Van,Tier 3
SH189,Port of Hamburg,Port of New York,Global Trans,Air,2026-06-14T08:00:00,2026-06-14T05:00:00,4678,5437408,Flat Rack,Tier 2
SH190,Port of Shanghai,Port of Dubai,Apex Cargo,Ocean,2026-06-02T08:00:00,2026-06-09T00:00:00,8439,8984845,Standard,Tier 3
SH191,Port of Los Angeles,Port of Singapore,Global Trans,Air,2026-06-22T08:00:00,2026-06-22T11:00:00,9365,2765514,Reefer,Tier 3
SH192,Port of Los Angeles,Port of London,Swift Logistics,Ocean,2026-06-02T08:00:00,2026-06-07T20:00:00,7044,5215679,Flat Rack,Tier 3
SH193,Port of Rotterdam,Port of Dubai,Atlas Freight,Air,2026-06-27T08:00:00,2026-06-27T09:00:00,7449,367537,Reefer,Tier 2
SH194,Port of Rotterdam,Port of Singapore,Global Trans,Rail,2026-06-28T08:00:00,2026-06-30T01:00:00,13036,9802741,Standard,Tier 3
SH195,Port of Mumbai,Port of Shanghai,Global Trans,Road,2026-06-24T08:00:00,2026-06-30T10:00:00,10820,1346516,Flat Rack,Tier 1
SH196,Port of Shanghai,Port of Hamburg,Oceanic Link,Rail,2026-06-21T08:00:00,2026-06-25T11:00:00,6471,9088807,Flat Rack,Tier 3
SH197,Port of Singapore,Port of London,Swift Logistics,Road,2026-06-23T08:00:00,2026-06-30T10:00:00,12515,7435034,Dry Van,Tier 3
SH198,Port of Tokyo,Port of Shanghai,Swift Logistics,Air,2026-06-24T08:00:00,2026-06-24T08:00:00,6531,1122647,Open Top,Tier 1
SH199,Port of Shanghai,Port of Dubai,Swift Logistics,Road,2026-06-19T08:00:00,2026-06-21T18:00:00,4688,2000367,Reefer,Tier 3
SH200,Port of Rotterdam,Port of London,Apex Cargo,Air,2026-06-05T08:00:00,2026-06-05T16:00:00,13391,5329548,Flat Rack,Tier 3
SH201,Port of Shanghai,Port of Sydney,Global Trans,Air,2026-06-26T08:00:00,2026-06-26T03:00:00,3093,8530473,Flat Rack,Tier 2
SH202,Port of Shanghai,Port of Singapore,Oceanic Link,Air,2026-06-04T08:00:00,2026-06-04T13:00:00,10978,3175354,Flat Rack,Tier 1
SH203,Port of Shanghai,Port of Mumbai,Swift Logistics,Ocean,2026-06-14T08:00:00,2026-06-19T06:00:00,6311,6210686,Reefer,Tier 3
SH204,Port of Newark,Port of Hamburg,Apex Cargo,Air,2026-06-14T08:00:00,2026-06-14T06:00:00,5121,1357506,Dry Van,Tier 3
SH205,Port of Rotterdam,Port of Singapore,Atlas Freight,Ocean,2026-06-25T08:00:00,2026-06-28T04:00:00,3845,9068873,Dry Van,Tier 2
SH206,Port of Tokyo,Port of London,Atlas Freight,Air,2026-06-26T08:00:00,2026-06-26T01:00:00,1562,7637768,Standard,Tier 2
SH207,Port of Mumbai,Port of London,Oceanic Link,Ocean,2026-06-09T08:00:00,2026-06-12T09:00:00,4096,5692264,Open Top,Tier 2
SH208,Port of Hamburg,Port of Dubai,Atlas Freight,Road,2026-06-10T08:00:00,2026-06-16T01:00:00,10185,3930993,Standard,Tier 3
SH209,Port of Shanghai,Port of London,Atlas Freight,Air,2026-06-05T08:00:00,2026-06-05T02:00:00,2261,9351434,Dry Van,Tier 3
SH210,Port of Shanghai,Port of Mumbai,Apex Cargo,Air,2026-06-24T08:00:00,2026-06-24T13:00:00,11016,2263573,Open Top,Tier 3
SH211,Port of Tokyo,Port of Mumbai,Swift Logistics,Road,2026-06-06T08:00:00,2026-06-07T20:00:00,3090,1083255,Flat Rack,Tier 3
SH212,Port of Singapore,Port of Sydney,Atlas Freight,Road,2026-06-06T08:00:00,2026-06-11T04:00:00,8695,6036126,Standard,Tier 2
SH213,Port of Rotterdam,Port of New York,Oceanic Link,Air,2026-06-12T08:00:00,2026-06-12T01:00:00,1346,5634263,Reefer,Tier 2
SH214,Port of Hamburg,Port of Singapore,Global Trans,Air,2026-06-12T08:00:00,2026-06-12T13:00:00,10502,1287715,Standard,Tier 3
SH215,Port of Tokyo,Port of Mumbai,Global Trans,Air,2026-06-04T08:00:00,2026-06-04T16:00:00,13107,5859701,Flat Rack,Tier 3
SH216,Port of Hamburg,Port of Sydney,Swift Logistics,Ocean,2026-06-10T08:00:00,2026-06-17T23:00:00,9593,2913793,Reefer,Tier 3
SH217,Port of Los Angeles,Port of Hamburg,Apex Cargo,Rail,2026-06-09T08:00:00,2026-06-17T14:00:00,12405,8341923,Standard,Tier 1
SH218,Port of Shanghai,Port of Mumbai,Swift Logistics,Road,2026-06-17T08:00:00,2026-06-25T18:00:00,14731,2769269,Dry Van,Tier 2
SH219,Port of Hamburg,Port of Singapore,Atlas Freight,Rail,2026-06-12T08:00:00,2026-06-19T09:00:00,10661,1762503,Dry Van,Tier 3
SH220,Port of Rotterdam,Port of Dubai,Oceanic Link,Rail,2026-06-08T08:00:00,2026-06-10T16:00:00,3891,1142501,Open Top,Tier 3
SH221,Port of Rotterdam,Port of Mumbai,Apex Cargo,Air,2026-06-19T08:00:00,2026-06-19T18:00:00,14639,3975282,Flat Rack,Tier 1
SH222,Port of Rotterdam,Port of New York,Global Trans,Air,2026-06-08T08:00:00,2026-06-08T05:00:00,4727,9501244,Reefer,Tier 2
SH223,Port of Newark,Port of Singapore,Swift Logistics,Ocean,2026-06-01T08:00:00,2026-06-06T21:00:00,7065,3136176,Standard,Tier 2
SH224,Port of Tokyo,Port of Singapore,Global Trans,Air,2026-06-06T08:00:00,2026-06-06T17:00:00,13608,1003959,Dry Van,Tier 3
SH225,Port of Mumbai,Port of Sydney,Swift Logistics,Rail,2026-06-07T08:00:00,2026-06-11T05:00:00,6067,4587358,Flat Rack,Tier 2
SH226,Port of Rotterdam,Port of Sydney,Apex Cargo,Air,2026-06-22T08:00:00,2026-06-22T02:00:00,1620,5325034,Standard,Tier 1
SH227,Port of Singapore,Port of Hamburg,Apex Cargo,Road,2026-06-04T08:00:00,2026-06-05T09:00:00,2365,9662128,Flat Rack,Tier 1
SH228,Port of Hamburg,Port of London,Apex Cargo,Rail,2026-06-19T08:00:00,2026-06-27T06:00:00,11920,5575633,Dry Van,Tier 3
SH229,Port of Los Angeles,Port of Sydney,Global Trans,Road,2026-06-06T08:00:00,2026-06-07T13:00:00,2616,8254298,Reefer,Tier 2
SH230,Port of Newark,Port of Singapore,Global Trans,Air,2026-06-18T08:00:00,2026-06-18T11:00:00,9054,4377819,Reefer,Tier 3
SH231,Port of Shanghai,Port of Mumbai,Atlas Freight,Road,2026-06-05T08:00:00,2026-06-07T09:00:00,4031,2842427,Open Top,Tier 3
SH232,Port of Newark,Port of London,Global Trans,Ocean,2026-06-29T08:00:00,2026-06-30T17:00:00,9295,5402825,Standard,Tier 2
SH233,Port of Mumbai,Port of Hamburg,Swift Logistics,Road,2026-06-04T08:00:00,2026-06-05T08:00:00,2292,6625716,Flat Rack,Tier 1
SH234,Port of Mumbai,Port of Shanghai,Oceanic Link,Ocean,2026-06-21T08:00:00,2026-06-22T23:00:00,2354,3628226,Flat Rack,Tier 2
SH235,Port of Shanghai,Port of Hamburg,Atlas Freight,Ocean,2026-06-20T08:00:00,2026-06-23T22:00:00,4712,9322985,Standard,Tier 1
SH236,Port of Shanghai,Port of Hamburg,Swift Logistics,Air,2026-06-27T08:00:00,2026-06-27T11:00:00,9077,3728086,Reefer,Tier 2
SH237,Port of Shanghai,Port of Dubai,Swift Logistics,Rail,2026-06-06T08:00:00,2026-06-15T09:00:00,13550,1046530,Standard,Tier 2
SH238,Port of Hamburg,Port of Mumbai,Oceanic Link,Ocean,2026-06-21T08:00:00,2026-06-30T17:00:00,12850,1095482,Reefer,Tier 1
SH239,Port of Shanghai,Port of Singapore,Oceanic Link,Rail,2026-06-28T08:00:00,2026-06-30T17:00:00,3932,1017344,Open Top,Tier 2
SH240,Port of Tokyo,Port of London,Oceanic Link,Road,2026-06-19T08:00:00,2026-06-25T05:00:00,10484,5818927,Flat Rack,Tier 2
SH241,Port of Rotterdam,Port of Shanghai,Swift Logistics,Air,2026-06-08T08:00:00,2026-06-08T03:00:00,2579,6034684,Flat Rack,Tier 2
SH242,Port of Rotterdam,Port of Hamburg,Oceanic Link,Air,2026-06-28T08:00:00,2026-06-28T07:00:00,5990,753662,Reefer,Tier 3
SH243,Port of Shanghai,Port of Hamburg,Swift Logistics,Road,2026-06-10T08:00:00,2026-06-13T21:00:00,6516,5567366,Dry Van,Tier 2
SH244,Port of Rotterdam,Port of New York,Global Trans,Rail,2026-06-07T08:00:00,2026-06-15T20:00:00,12756,8420262,Open Top,Tier 3
SH245,Port of Hamburg,Port of Mumbai,Oceanic Link,Road,2026-06-08T08:00:00,2026-06-11T20:00:00,6454,2652967,Dry Van,Tier 3
SH246,Port of Mumbai,Port of Hamburg,Apex Cargo,Road,2026-06-02T08:00:00,2026-06-06T14:00:00,7718,1778096,Open Top,Tier 2
SH247,Port of Rotterdam,Port of Shanghai,Swift Logistics,Rail,2026-06-23T08:00:00,2026-06-26T12:00:00,5047,549876,Flat Rack,Tier 2
SH248,Port of Newark,Port of Hamburg,Global Trans,Road,2026-06-19T08:00:00,2026-06-20T14:00:00,2698,2076580,Dry Van,Tier 1
SH249,Port of Los Angeles,Port of London,Atlas Freight,Air,2026-06-10T08:00:00,2026-06-10T11:00:00,9205,2058960,Flat Rack,Tier 2
SH250,Port of Tokyo,Port of Hamburg,Swift Logistics,Road,2026-06-12T08:00:00,2026-06-19T01:00:00,11882,6243956,Standard,Tier 2
SH251,Port of Rotterdam,Port of Sydney,Global Trans,Air,2026-06-27T08:00:00,2026-06-27T02:00:00,1887,4158880,Reefer,Tier 3
SH252,Port of Mumbai,Port of Shanghai,Oceanic Link,Air,2026-06-13T08:00:00,2026-06-13T04:00:00,3686,3223584,Standard,Tier 3
SH253,Port of Shanghai,Port of Singapore,Oceanic Link,Air,2026-06-13T08:00:00,2026-06-13T02:00:00,1801,166739,Reefer,Tier 3
SH254,Port of Singapore,Port of Shanghai,Apex Cargo,Road,2026-06-09T08:00:00,2026-06-13T10:00:00,7481,1064929,Flat Rack,Tier 3
SH255,Port of Mumbai,Port of Dubai,Oceanic Link,Ocean,2026-06-10T08:00:00,2026-06-16T08:00:00,7641,6994121,Open Top,Tier 2
SH256,Port of Mumbai,Port of New York,Swift Logistics,Ocean,2026-06-25T08:00:00,2026-06-25T22:00:00,1145,7419434,Reefer,Tier 3
SH257,Port of Hamburg,Port of Shanghai,Global Trans,Ocean,2026-06-26T08:00:00,2026-06-30T03:00:00,12164,3493609,Flat Rack,Tier 2
SH258,Port of Mumbai,Port of Dubai,Atlas Freight,Air,2026-06-19T08:00:00,2026-06-19T02:00:00,1886,3387920,Dry Van,Tier 1
SH259,Port of Singapore,Port of London,Apex Cargo,Road,2026-06-07T08:00:00,2026-06-10T12:00:00,5915,926031,Open Top,Tier 3
SH260,Port of Newark,Port of Dubai,Global Trans,Road,2026-06-26T08:00:00,2026-06-30T07:00:00,7266,4181479,Flat Rack,Tier 2
SH261,Port of Los Angeles,Port of Singapore,Atlas Freight,Road,2026-06-27T08:00:00,2026-06-28T08:00:00,2262,7290947,Dry Van,Tier 3
SH262,Port of Hamburg,Port of Sydney,Global Trans,Ocean,2026-06-08T08:00:00,2026-06-08T13:00:00,653,6840593,Flat Rack,Tier 2
SH263,Port of Shanghai,Port of Mumbai,Oceanic Link,Ocean,2026-06-03T08:00:00,2026-06-11T00:00:00,9630,2754999,Reefer,Tier 2
SH264,Port of Rotterdam,Port of Hamburg,Apex Cargo,Rail,2026-06-05T08:00:00,2026-06-11T03:00:00,8863,5837749,Reefer,Tier 1
SH265,Port of Los Angeles,Port of Dubai,Swift Logistics,Ocean,2026-06-17T08:00:00,2026-06-19T22:00:00,3504,4134752,Reefer,Tier 3
SH266,Port of Tokyo,Port of Sydney,Swift Logistics,Rail,2026-06-22T08:00:00,2026-06-30T20:00:00,12754,8097252,Standard,Tier 3
SH267,Port of Newark,Port of New York,Oceanic Link,Air,2026-06-13T08:00:00,2026-06-13T17:00:00,13900,9214043,Dry Van,Tier 3
SH268,Port of Singapore,Port of Shanghai,Global Trans,Rail,2026-06-26T08:00:00,2026-06-29T16:00:00,5306,3863270,Reefer,Tier 3
SH269,Port of Tokyo,Port of New York,Apex Cargo,Road,2026-06-29T08:00:00,2026-06-30T19:00:00,4732,5172930,Reefer,Tier 2
SH270,Port of Singapore,Port of Shanghai,Atlas Freight,Road,2026-06-24T08:00:00,2026-06-26T02:00:00,3542,3445049,Standard,Tier 3
SH271,Port of Rotterdam,Port of Sydney,Atlas Freight,Ocean,2026-06-26T08:00:00,2026-06-30T14:00:00,13909,9438162,Flat Rack,Tier 3
SH272,Port of Tokyo,Port of Singapore,Atlas Freight,Road,2026-06-25T08:00:00,2026-06-29T21:00:00,8194,1891648,Open Top,Tier 3
SH273,Port of Hamburg,Port of Dubai,Oceanic Link,Rail,2026-06-10T08:00:00,2026-06-16T09:00:00,9184,7202747,Reefer,Tier 1
SH274,Port of Singapore,Port of New York,Swift Logistics,Road,2026-06-03T08:00:00,2026-06-09T05:00:00,10496,6893532,Reefer,Tier 3
SH275,Port of Rotterdam,Port of Singapore,Atlas Freight,Ocean,2026-06-25T08:00:00,2026-06-30T10:00:00,13745,9308731,Standard,Tier 3
SH276,Port of Tokyo,Port of Singapore,Atlas Freight,Ocean,2026-06-14T08:00:00,2026-06-23T10:00:00,11316,2179885,Standard,Tier 1
SH277,Port of Newark,Port of New York,Global Trans,Rail,2026-06-09T08:00:00,2026-06-09T10:00:00,645,9709072,Flat Rack,Tier 3
SH278,Port of Tokyo,Port of Mumbai,Oceanic Link,Rail,2026-06-11T08:00:00,2026-06-17T16:00:00,9655,3238729,Flat Rack,Tier 3
SH279,Port of Los Angeles,Port of New York,Swift Logistics,Air,2026-06-04T08:00:00,2026-06-04T02:00:00,2368,3931185,Standard,Tier 3
SH280,Port of Rotterdam,Port of Shanghai,Atlas Freight,Ocean,2026-06-10T08:00:00,2026-06-14T22:00:00,5929,9791172,Dry Van,Tier 3
